"","x"
"cell487","CD34+CD45RA+CLEC12A+"
"cell488","CD34+CD45RA-CLEC12A-"
"cell489","CD34+CD45RA-CLEC12A+"
"cell490","CD34+CD45RA+CLEC12A-"
"cell491","CD34+CD45RA+CLEC12A-"
"cell492","CD34+CD45RA-CLEC12A-"
"cell493","CD34+CD45RA-CLEC12A+"
"cell494","CD34+CD45RA-CLEC12A-"
"cell495","CD34+CD45RA-CLEC12A+"
"cell496","CD34+CD45RA-CLEC12A-"
"cell497","CD34+CD45RA+CLEC12A-"
"cell498","CD34+CD45RA+CLEC12A-"
"cell499","CD34+CD45RA-CLEC12A+"
"cell500","CD34+CD45RA-CLEC12A-"
"cell501","CD34+CD45RA-CLEC12A-"
"cell502","CD34+CD45RA-CLEC12A-"
"cell503","CD34+CD45RA-CLEC12A-"
"cell504","CD34+CD45RA-CLEC12A-"
"cell505","CD34+CD45RA-CLEC12A-"
"cell506","CD34+CD45RA-CLEC12A-"
"cell507","CD34+CD45RA-CLEC12A-"
"cell508","CD34+CD45RA-CLEC12A-"
"cell509","CD34+CD45RA-CLEC12A-"
"cell510","CD34+CD45RA-CLEC12A-"
"cell511","CD34+CD45RA-CLEC12A+"
"cell512","CD34+CD45RA-CLEC12A+"
"cell513","CD34+CD45RA+CLEC12A-"
"cell514","CD34+CD45RA-CLEC12A-"
"cell515","CD34+CD45RA-CLEC12A-"
"cell516","CD34+CD45RA-CLEC12A-"
"cell517","CD34+CD45RA+CLEC12A-"
"cell518","CD34+CD45RA-CLEC12A-"
"cell519","CD34+CD45RA-CLEC12A-"
"cell520","CD34+CD45RA-CLEC12A-"
"cell521","CD34+CD45RA+CLEC12A+"
"cell522","CD34+CD45RA-CLEC12A-"
"cell523","CD34+CD45RA-CLEC12A-"
"cell524","CD34+CD45RA-CLEC12A-"
"cell525","CD34+CD45RA-CLEC12A-"
"cell526","CD34+CD45RA-CLEC12A+"
"cell527","CD34+CD45RA-CLEC12A+"
"cell528","CD34+CD45RA-CLEC12A-"
"cell529","CD34+CD45RA-CLEC12A-"
"cell530","CD34+CD45RA+CLEC12A-"
"cell531","CD34+CD45RA-CLEC12A-"
"cell532","CD34+CD45RA-CLEC12A+"
"cell533","CD34+CD45RA-CLEC12A-"
"cell534","CD34+CD45RA-CLEC12A-"
"cell535","CD34+CD45RA+CLEC12A-"
"cell536","CD34+CD45RA-CLEC12A-"
"cell537","CD34+CD45RA+CLEC12A-"
"cell538","CD34+CD45RA-CLEC12A-"
"cell539","CD34+CD45RA+CLEC12A-"
"cell540","CD34+CD45RA-CLEC12A-"
"cell541","CD34+CD45RA-CLEC12A-"
"cell542","CD34+CD45RA+CLEC12A-"
"cell543","CD34+CD45RA+CLEC12A-"
"cell544","CD34+CD45RA-CLEC12A-"
"cell545","CD34+CD45RA+CLEC12A-"
"cell546","CD34+CD45RA-CLEC12A-"
"cell547","CD34+CD45RA-CLEC12A-"
"cell548","CD34+CD45RA-CLEC12A-"
"cell549","CD34+CD45RA-CLEC12A-"
"cell550","CD34+CD45RA+CLEC12A-"
"cell551","CD34+CD45RA-CLEC12A+"
"cell552","CD34+CD45RA+CLEC12A-"
"cell553","CD34+CD45RA-CLEC12A-"
"cell554","CD34+CD45RA-CLEC12A+"
"cell555","CD34+CD45RA+CLEC12A-"
"cell556","CD34+CD45RA-CLEC12A-"
"cell557","CD34+CD45RA-CLEC12A-"
"cell558","CD34+CD45RA+CLEC12A+"
"cell559","CD34+CD45RA+CLEC12A-"
"cell560","CD34+CD45RA-CLEC12A-"
"cell562","CD34+CD45RA+CLEC12A-"
"cell563","CD34+CD45RA-CLEC12A+"
"cell565","CD34+CD45RA-CLEC12A+"
"cell566","CD34+CD45RA-CLEC12A-"
"cell567","CD34+CD45RA-CLEC12A-"
"cell568","CD34+CD45RA-CLEC12A-"
"cell569","CD34+CD45RA-CLEC12A+"
"cell570","CD34+CD45RA+CLEC12A-"
"cell571","CD34+CD45RA-CLEC12A-"
"cell572","CD34+CD45RA-CLEC12A-"
"cell574","CD34+CD45RA-CLEC12A+"
"cell575","CD34+CD45RA-CLEC12A-"
"cell576","CD34+CD45RA-CLEC12A-"
"cell577","CD34+CD45RA+CLEC12A-"
"cell578","CD34+CD45RA-CLEC12A-"
"cell579","CD34+CD45RA-CLEC12A+"
"cell580","CD34+CD45RA-CLEC12A-"
"cell581","CD34+CD45RA-CLEC12A-"
"cell582","CD34+CD45RA-CLEC12A-"
"cell583","CD34+CD45RA-CLEC12A-"
"cell584","CD34+CD45RA-CLEC12A-"
"cell585","CD34+CD45RA-CLEC12A-"
"cell586","CD34+CD45RA-CLEC12A+"
"cell587","CD34+CD45RA-CLEC12A-"
"cell588","CD34+CD45RA-CLEC12A-"
"cell589","CD34+CD45RA+CLEC12A-"
"cell590","CD34+CD45RA-CLEC12A-"
"cell591","CD34+CD45RA+CLEC12A+"
"cell592","CD34+CD45RA-CLEC12A-"
"cell593","CD34+CD45RA-CLEC12A-"
"cell594","CD34+CD45RA-CLEC12A-"
